"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2023K1";"31 Østfold";36944;5,6
"2023K1";"32 Akershus";96473;14,6
"2023K1";"33 Buskerud";32572;4,9
"2023K1";"34 Innlandet";40645;6,1
"2023K1";"39 Vestfold";30261;4,6
"2023K1";"40 Telemark";19899;3
"2023K1";"42 Agder";38279;5,8
"2023K1";"46 Vestland";76793;11,6
"2023K1";"50 Trøndelag - Trööndelage";56842;8,6
"2023K1";"55 Troms - Romsa - Tromssa ";19259;2,9
"2023K1";"56 Finnmark - Finnmárku - Finmarkku";8356;1,3
"2023K1";"98 Utland";4447;0,7
"2023K1";"99 Ukjent";143;0
"2023K2";"00 I alt";664782;100
"2023K2";"03 Oslo";79886;12
"2023K2";"11 Rogaland";63664;9,6
"2023K2";"15 Møre og Romsdal";31458;4,7
"2023K2";"18 Nordland - Nordlánnda";27642;4,2
"2023K2";"31 Østfold";37112;5,6
"2023K2";"32 Akershus";96712;14,5
"2023K2";"33 Buskerud";32674;4,9
"2023K2";"34 Innlandet";40764;6,1
"2023K2";"39 Vestfold";30346;4,6
"2023K2";"40 Telemark";19976;3
"2023K2";"42 Agder";38399;5,8
"2023K2";"46 Vestland";76823;11,6
"2023K2";"50 Trøndelag - Trööndelage";56944;8,6
"2023K2";"55 Troms - Romsa - Tromssa ";19221;2,9
"2023K2";"56 Finnmark - Finnmárku - Finmarkku";8362;1,3
"2023K2";"98 Utland";4612;0,7
"2023K2";"99 Ukjent";187;0
"2023K3";"00 I alt";667038;100
"2023K3";"03 Oslo";80185;12
"2023K3";"11 Rogaland";63834;9,6
"2023K3";"15 Møre og Romsdal";31583;4,7
"2023K3";"18 Nordland - Nordlánnda";27675;4,1
"2023K3";"31 Østfold";37314;5,6
"2023K3";"32 Akershus";97068;14,6
"2023K3";"33 Buskerud";32790;4,9
"2023K3";"34 Innlandet";40949;6,1
"2023K3";"39 Vestfold";30496;4,6
"2023K3";"40 Telemark";20058;3
"2023K3";"42 Agder";38548;5,8
"2023K3";"46 Vestland";76845;11,5
"2023K3";"50 Trøndelag - Trööndelage";56919;8,5
"2023K3";"55 Troms - Romsa - Tromssa ";19205;2,9
"2023K3";"56 Finnmark - Finnmárku - Finmarkku";8389;1,3
"2023K3";"98 Utland";4992;0,7
"2023K3";"99 Ukjent";188;0
"2023K4";"00 I alt";670315;100
"2023K4";"03 Oslo";80500;12
"2023K4";"11 Rogaland";64056;9,6
"2023K4";"15 Møre og Romsdal";31776;4,7
"2023K4";"18 Nordland - Nordlánnda";27838;4,2
"2023K4";"31 Østfold";37436;5,6
"2023K4";"32 Akershus";97710;14,6
"2023K4";"33 Buskerud";32976;4,9
"2023K4";"34 Innlandet";41109;6,1
"2023K4";"39 Vestfold";30542;4,6
"2023K4";"40 Telemark";20117;3
"2023K4";"42 Agder";38707;5,8
"2023K4";"46 Vestland";77146;11,5
"2023K4";"50 Trøndelag - Trööndelage";57205;8,5
"2023K4";"55 Troms - Romsa - Tromssa ";19282;2,9
"2023K4";"56 Finnmark - Finnmárku - Finmarkku";8454;1,3
"2023K4";"98 Utland";5272;0,8
"2023K4";"99 Ukjent";189;0
"2024K1";"00 I alt";666205;100
