"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202501;0,9;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202502;0,9;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202503;1,3;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202504;1;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202505;1;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202506;0,9;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202507;0,5;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202508;0,5;"prosent";"3110 Hvaler";"kommune";"Delvis ledige"
202501;2;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202502;2,5;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202503;2,1;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202504;1,8;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202505;1,9;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202506;1,7;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202507;1,8;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202508;2,1;"prosent";"3110 Hvaler";"kommune";"Helt ledige"
202501;19;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202502;20;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202503;28;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202504;32;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202505;22;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202506;16;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202507;13;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202508;14;"antall";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202501;34;"antall";"3112 Råde";"kommune";"Delvis ledige"
202502;34;"antall";"3112 Råde";"kommune";"Delvis ledige"
202503;44;"antall";"3112 Råde";"kommune";"Delvis ledige"
202504;28;"antall";"3112 Råde";"kommune";"Delvis ledige"
202505;34;"antall";"3112 Råde";"kommune";"Delvis ledige"
202506;33;"antall";"3112 Råde";"kommune";"Delvis ledige"
202507;35;"antall";"3112 Råde";"kommune";"Delvis ledige"
202508;35;"antall";"3112 Råde";"kommune";"Delvis ledige"
202501;123;"antall";"3112 Råde";"kommune";"Helt ledige"
202502;117;"antall";"3112 Råde";"kommune";"Helt ledige"
202503;108;"antall";"3112 Råde";"kommune";"Helt ledige"
202504;90;"antall";"3112 Råde";"kommune";"Helt ledige"
202505;93;"antall";"3112 Råde";"kommune";"Helt ledige"
202506;102;"antall";"3112 Råde";"kommune";"Helt ledige"
202507;101;"antall";"3112 Råde";"kommune";"Helt ledige"
202508;105;"antall";"3112 Råde";"kommune";"Helt ledige"
202501;0,5;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202502;0,5;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202503;0,7;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202504;0,8;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202505;0,6;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202506;0,4;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202507;0,3;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202508;0,4;"prosent";"3112 Råde";"kommune";"Arbeidssøkere på tiltak"
202501;0,9;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202502;0,9;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202503;1,1;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202504;0,7;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202505;0,9;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202506;0,8;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202507;0,9;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202508;0,9;"prosent";"3112 Råde";"kommune";"Delvis ledige"
202501;3,1;"prosent";"3112 Råde";"kommune";"Helt ledige"
202502;3;"prosent";"3112 Råde";"kommune";"Helt ledige"
202503;2,7;"prosent";"3112 Råde";"kommune";"Helt ledige"
